Name,OOS,,Total Verses,Verses to Sing,Familiarity,Service Index,Key,NVB,SSH,MAJ,NVR,Date of Most Recent Use,First Line,Notes,ID,Blood,Christmas,Cross,Easter,Grace,Heaven,Holy Spirit,Invitation,Missions,Patriotic,Prayer,Salvation,Second Coming,Bible,Calvary,Great Hymns,Service,Thanksgiving,Assurance,Christian Warfare,Comfort & Guidance,Consecration,Consolation,Faith & Trust,Joy & Singing,Love,Praise,Resurrection,Soul Winning & Service,Testimony,Lyrics,Log,Words,Music
"Onward, Christian Soldiers (Sullivan)","1, 2, 4","412 | ""Onward, Christian Soldiers (Sullivan)"" (21) [4]",4,"1, 2, 4",,2,Eb,21,412,579,429,,"Onward, christian soldiers, marching as to war",,1021,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,Sabine Baring-Gould,
Blessed Assurance,"All: 1, 2, 3","143 | ""Blessed Assurance"" (22) [3]",3,"All: 1, 2, 3",,1A,D,22,143,463,506,,"Blessed assurance, Jesus is mine",,1022,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,Fanny J. Crosby,
To God Be the Glory,"All: 1, 2, 3","162 | ""To God Be the Glory"" (23) [3]",3,"All: 1, 2, 3",,1A,Ab,23,162,44,457,,To God be the glory—great things He hath done,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Fanny J. Crosby,
God Is So Good,"1, 2, 4","NVB | ""God Is So Good"" (24) [4]",4,"1, 2, 4",,3/4,Eb,24,,612,71,,God is so good,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traditional,
How Firm a Foundation,"1, 2, 4","153 | ""How Firm a Foundation"" (25) [4]",4,"1, 2, 4",,1A,A,25,153,464,529,,"How firm a foundation, ye saints of the Lord",,1025,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,Unknown,
Abide With Me,"All: 1, 2, 3","106 | ""Abide With Me"" (26) [3]",3,"All: 1, 2, 3",,3/4,Eb,26,106,440,517,,Abide with me: fast falls the eventide,,1026,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,Henry F. Lyte,
A Mighty Fortress Is Our God,"All: 1, 2, 3","144 | ""A Mighty Fortress Is Our God"" (27) [3]",3,"All: 1, 2, 3",,1A,D,27,144,81,547,,A mighty Fortress is our God,,1027,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,Martin Luther,
Great Is Thy Faithfulness,"All: 1, 2, 3","441 | ""Great Is Thy Faithfulness"" (28) [3]",3,"All: 1, 2, 3",,1A,Eb,28,441,109,177,,"""Great is Thy faithfulness,"" O God my Father",,1028,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,Thomas O. Chisholm,
How Deep the Father’s Love For Us,"All: 1, 2, 3","NVB | ""How Deep the Father’s Love For Us"" (29) [3]",3,"All: 1, 2, 3",,3/4,Eb,29,,,,,How deep the Father’s love for us,,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuart Townend,
Doxology,"All: 1, 2","155 | ""Doxology"" (30) [2]",2,"All: 1, 2",,,G,30,155,21,37,,Praise God from whom all blessings flow,,1030,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Thomas Ken,
A New Name in Glory,"All: 1, 2, 3","NVB | ""A New Name in Glory"" (31) [3]",3,"All: 1, 2, 3",,1C,Bb,31,,345,488,,"I was once a sinner, but I came",,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. Austin Miles,
There's a Wideness,"All: 1, 2","NVB | ""There's a Wideness"" (32) [2]",2,"All: 1, 2",,3/4,C,32,,,426,,There’s a wideness in God’s mercy,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Faber,
How Big Is God!,"All: 1, 2","NVB | ""How Big Is God!"" (33) [2]",2,"All: 1, 2",,2,Eb,33,,,,,Though man may strive to go beyond the reach of space,,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuart Hamblen,
How Great Thou Art,"1, 2, 4","NVB | ""How Great Thou Art"" (34) [4]",4,"1, 2, 4",,1A,Bb,34,,38,365,,"O Lord my God, when I in awesome wonder",,1034,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Stuart K. Hine,
"Come, Thou Almighty King","1, 2, 4","157 | ""Come, Thou Almighty King"" (35) [4]",4,"1, 2, 4",,2,G,35,157,71,,,"Come, Thou Almighty King",,1035,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Anonymous,
The Wonder Of It All,"All: 1, 2, 3","NVB | ""The Wonder Of It All"" (36) [3]",3,"All: 1, 2, 3",,3/4,Bb,36,,142,25,,There’s the wonder of sunset at evening,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George B. Shea,
O Worship the King,"1, 2, 4","165 | ""O Worship the King"" (37) [4]",4,"1, 2, 4",,2,A,37,165,65,380,,"O worship the King, all glorious above",,1037,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,Robert Grant,
